kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,infraspecificEpithet,specificEpithet,scientificNameAuthorship,scientificNameAuthorshipYear,scientificName,continent,country,habitat,locality,county,decimalLatitude,decimalLongitude,eventTemperature,eventRelHum,eventAltitude,sampleStrata,day,month,year,materialSampleID,samplingLocationID,samplingProtocol,sampleSizeValue,samplingEffort,timePerSample,handWingIndex,birdBodyMassLog,birdDietVend,birdDietVect,birdDietFish,birdDietVunk,birdWataroundsurfForStrat,birdFruitDiet,birdInvDiet,birdNectDiet,birdPlantDiet,birdScavDiet,birdSeedDiet,birdVertDiet,birdAerialForStrat,birdNearWaterForStrat,birdCanopyForStrat,birdGroundForStrat,birdMidHiForStrat,birdUnderForStrat,birdPrefHabitat,birdHabitatScore,categoryThreatMMA,categoryThreatIUCN,birdForStrarRef
Animalia,Chordata,Aves,,Cracidae,,,Aburria,,,cujubi,Pelzeln,1858,Aburria cujubi Pelzeln 1858,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.175786,-50.40909,,,705,,7,11,2019,597,CN01,sound record - bird song identification by specialist,,,,,,,,,,,,,,,,,,,,,,,,,,LC,LC,
Animalia,Chordata,Aves,,Cracidae,,,Aburria,,,cujubi,Pelzeln,1858,Aburria cujubi Pelzeln 1858,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.175786,-50.40909,,,705,,7,11,2019,598,CN01,sound record - bird song identification by specialist,,,,,,,,,,,,,,,,,,,,,,,,,,LC,LC,
Animalia,Chordata,Aves,,Cracidae,,,Aburria,,,cujubi,Pelzeln,1858,Aburria cujubi Pelzeln 1858,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.175786,-50.40909,,,705,,9,11,2019,599,CN01,sound record - bird song identification by specialist,,,,,,,,,,,,,,,,,,,,,,,,,,LC,LC,
Animalia,Chordata,Aves,,Cracidae,,,Aburria,,,cujubi,Pelzeln,1858,Aburria cujubi Pelzeln 1858,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.175786,-50.40909,,,680,,8,11,2019,600,CN02,sound record - bird song identification by specialist,,,,,,,,,,,,,,,,,,,,,,,,,,LC,LC,
Animalia,Chordata,Aves,,Cracidae,,,Aburria,,,cujubi,Pelzeln,1858,Aburria cujubi Pelzeln 1858,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.175786,-50.40909,,,680,,8,11,2019,601,CN02,sound record - bird song identification by specialist,,,,,,,,,,,,,,,,,,,,,,,,,,LC,LC,
Animalia,Chordata,Aves,,Cracidae,,,Aburria,,,cujubi,Pelzeln,1858,Aburria cujubi Pelzeln 1858,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.175786,-50.40909,,,680,,6,11,2019,602,CN02,sound record - bird song identification by specialist,,,,,,,,,,,,,,,,,,,,,,,,,,LC,LC,
Animalia,Chordata,Aves,,Cracidae,,,Aburria,,,cujubi,Pelzeln,1858,Aburria cujubi Pelzeln 1858,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.175786,-50.40909,,,680,,7,11,2019,603,CN02,sound record - bird song identification by specialist,,,,,,,,,,,,,,,,,,,,,,,,,,LC,LC,
Animalia,Chordata,Aves,,Cracidae,,,Aburria,,,cujubi,Pelzeln,1858,Aburria cujubi Pelzeln 1858,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.173898,-50.37792,,,692,,9,11,2019,604,CN03,sound record - bird song identification by specialist,,,,,,,,,,,,,,,,,,,,,,,,,,LC,LC,
Animalia,Chordata,Aves,,Cracidae,,,Aburria,,,cujubi,Pelzeln,1858,Aburria cujubi Pelzeln 1858,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.17136,-50.35343,,,603,,8,11,2019,605,CN07,sound record - bird song identification by specialist,,,,,,,,,,,,,,,,,,,,,,,,,,LC,LC,
Animalia,Chordata,Aves,,Cracidae,,,Aburria,,,cujubi,Pelzeln,1858,Aburria cujubi Pelzeln 1858,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.175786,-50.40909,,,680,,8,11,2019,201911080701_CN2,CN02,sound record - bird song identification by specialist,,,,,,,,,,,,,,,,,,,,,,,,,,LC,LC,
