kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,infraspecificEpithet,specificEpithet,scientificNameAuthorship,scientificNameAuthorshipYear,scientificName,continent,country,habitat,locality,county,decimalLatitude,decimalLongitude,eventTemperature,eventRelHum,eventAltitude,sampleStrata,day,month,year,materialSampleID,samplingLocationID,samplingProtocol,sampleSizeValue,samplingEffort,timePerSample,butflyHostFamily,butflyHostGenera,butflyHostRef,butflyBlemishWing,butflyBodySize,butflyCamouflage,butflyEyeSize,butflyForeWingLength,butflyForeWingWidth,butflyHindWingLength,butflyHindWingWidth,butflyIridescence,butflyProboscisLength,categoryThreatMMA,categoryThreatIUCN
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitidinae,,Adelpha,,,heraclea,(C. Felder & R. Felder),1867,Adelpha heraclea (C. Felder & R. Felder) 1867,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,608,canopy,1,4,2022,ITV44051,CN02,attractive bait,,,,3,3,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,15.77,0,2.06,24.68,15.78,16.46,20.32,0,8.34,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrinae,,Amphidecta,,,calliomma,(C. Felder & R. Felder),1862,Amphidecta calliomma (C. Felder & R. Felder) 1862,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.215823,-50.31776,,,625,understory,11,11,2019,ITV23154,CN10,attractive bait,,,,1,1,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",1,20.14,1,2.4,30.35,21.23,23.29,26.72,0,11.89,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrinae,,Amphidecta,,,pignerator,Butler,1867,Amphidecta pignerator Butler 1867,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.244426,-50.31531,,,698,understory,12,11,2019,ITV23092,CN11,attractive bait,,,,1,1,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,19.46,1,1.65,33.14,20.68,26.62,26.62,0,11.26,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrinae,,Amphidecta,,,pignerator,Butler,1867,Amphidecta pignerator Butler 1867,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.244426,-50.31531,,,698,understory,8,11,2019,ITV23141,CN11,attractive bait,,,,1,1,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,22.07,1,2.06,31.68,20.51,25.62,27.31,0,11.9,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Charaxinae,,Archaeoprepona,,,demophon,Linnaeus,1758,Archaeoprepona demophon Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.175786,-50.40909,,,705,understory,11,11,2019,ITV23093,CN01,attractive bait,,,,12,17,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,24.61,1,2.96,44.22,28.85,30.71,33.33,1,17.02,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Charaxinae,,Archaeoprepona,,,demophon,Linnaeus,1758,Archaeoprepona demophon Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.175786,-50.40909,,,705,understory,11,11,2019,ITV23128,CN01,attractive bait,,,,12,17,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,18.59,1,2.24,51.04,32.29,35.32,40.18,1,12.29,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Charaxinae,,Archaeoprepona,,,demophon,Linnaeus,1758,Archaeoprepona demophon Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,608,understory,9,11,2019,ITV23081,CN02,attractive bait,,,,12,17,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,25.54,1,3.29,47.41,29,30.81,36.07,1,18.95,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Charaxinae,,Archaeoprepona,,,demophon,Linnaeus,1758,Archaeoprepona demophon Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,608,understory,1,4,2022,ITV44042,CN02,attractive bait,,,,12,17,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",,,,,,,,,,20.96,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Charaxinae,,Archaeoprepona,,,demophon,Linnaeus,1758,Archaeoprepona demophon Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.148752,-50.42119,,,662,understory,13,11,2019,ITV23110,CN04,attractive bait,,,,12,17,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,27.26,1,3.5,50.7,30.5,32.52,36.73,1,21.12,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Charaxinae,,Archaeoprepona,,,demophon,Linnaeus,1758,Archaeoprepona demophon Linnaeus 1758,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.137579,-50.45285,,,412,canopy,8,11,2019,ITV23120,CN06,attractive bait,,,,12,17,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,28.85,1,3.6,52,32.34,34.81,39.08,1,22.12,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrinae,,Bia,,,actorion,Linnaeus,1763,Bia actorion Linnaeus 1763,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.137579,-50.45285,,,412,understory,1,4,2022,ITV44043,CN06,attractive bait,,,,1,1,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",1,16.33,1,2.1,25.83,20.59,20.53,27.62,0,6.99,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Biblidinae,,Biblis,,,hyperia,Cramer,1797,Biblis hyperia Cramer 1797,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.215823,-50.31776,,,625,understory,13,11,2019,ITV23077,CN10,attractive bait,,,,3,6,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,14.41,0,1.67,31.36,19.38,22.39,19.91,0,8.05,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrinae,,Caeruleuptychia,,,cyanites,Butler,1871,Caeruleuptychia cyanites Butler 1871,South America,Brazil,Forest associated with ferruginous mountains,Carajás,Parauapebas,-6.14236,-50.17405,,,710,understory,14,5,2022,ITV44063,CN13,attractive bait,,,,1,1,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",1,9.97,1,1.73,21.75,15.11,16.72,17.67,0,5.52,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrinae,,Caligopsis,,,seleucida,Hewitson,1877,Caligopsis seleucida Hewitson 1877,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.175786,-50.40909,,,705,understory,31,3,2022,ITV44010,CN01,attractive bait,,,,1,1,"Furtado, E., & Campos-Neto, F. C. (2004). Caligopsis seleucida (Hewitson) e seus estágios imaturos (Lepidoptera, Nymphalidae, Brassolinae). Revista Brasileira de Zoologia, 21, 593-597.",,,,,,,,,,15.9,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrinae,,Caligopsis,,,seleucida,Hewitson,1877,Caligopsis seleucida Hewitson 1877,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,608,understory,1,4,2022,ITV44054,CN02,attractive bait,,,,1,1,"Furtado, E., & Campos-Neto, F. C. (2004). Caligopsis seleucida (Hewitson) e seus estágios imaturos (Lepidoptera, Nymphalidae, Brassolinae). Revista Brasileira de Zoologia, 21, 593-597.",,,,,,,,,,16.43,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrinae,,Caligopsis,,,seleucida,Hewitson,1877,Caligopsis seleucida Hewitson 1877,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.244426,-50.31531,,,698,understory,12,11,2019,ITV23097,CN11,attractive bait,,,,1,1,"Furtado, E., & Campos-Neto, F. C. (2004). Caligopsis seleucida (Hewitson) e seus estágios imaturos (Lepidoptera, Nymphalidae, Brassolinae). Revista Brasileira de Zoologia, 21, 593-597.",1,29.75,1,3.63,64.17,43.75,48.29,55.76,0,20,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrinae,,Caligopsis,,,seleucida,Hewitson,1877,Caligopsis seleucida Hewitson 1877,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.284544,-50.33622,,,694,understory,8,11,2019,ITV23130,CN12,attractive bait,,,,1,1,"Furtado, E., & Campos-Neto, F. C. (2004). Caligopsis seleucida (Hewitson) e seus estágios imaturos (Lepidoptera, Nymphalidae, Brassolinae). Revista Brasileira de Zoologia, 21, 593-597.",1,29.51,1,3.3,59.33,42.11,43.17,48.1,0,14.3,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrinae,,Caligopsis,,,seleucida,Hewitson,1877,Caligopsis seleucida Hewitson 1877,South America,Brazil,Forest associated with ferruginous mountains,Carajás,Parauapebas,-6.161556,-50.16644,,,703,understory,12,11,2019,ITV23132,CN14,attractive bait,,,,1,1,"Furtado, E., & Campos-Neto, F. C. (2004). Caligopsis seleucida (Hewitson) e seus estágios imaturos (Lepidoptera, Nymphalidae, Brassolinae). Revista Brasileira de Zoologia, 21, 593-597.",1,27.28,1,3.93,60.05,44.64,47.73,55.71,0,18.13,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Satyrinae,,Caligopsis,,,seleucida,Hewitson,1877,Caligopsis seleucida Hewitson 1877,South America,Brazil,Forest associated with ferruginous mountains,Carajás,Parauapebas,,,,,,,23,3,2022,ITV44032,serra norte,attractive bait,,,,1,1,"Furtado, E., & Campos-Neto, F. C. (2004). Caligopsis seleucida (Hewitson) e seus estágios imaturos (Lepidoptera, Nymphalidae, Brassolinae). Revista Brasileira de Zoologia, 21, 593-597.",,,,,,,,,,15.84,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Biblidinae,,Callicore,,,astarte,Cramer,1779,Callicore astarte Cramer 1779,South America,Brazil,Evergreen Seasonal Forest,Carajás,Parauapebas,-6.171656,-50.35259,,,466,canopy,10,11,2019,ITV23063,CN08,attractive bait,,,,1,2,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,9,0,2.24,27.36,17,23.13,16.34,0,12.29,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Biblidinae,,Catonephele,,,acontius,Linnaeus,1771,Catonephele acontius Linnaeus 1771,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,608,canopy,9,11,2019,ITV23102,CN02,attractive bait,,,,3,5,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,16.34,1,2.31,33.62,20.67,25.26,21.16,0,11.51,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Biblidinae,,Catonephele,,,acontius,Linnaeus,1771,Catonephele acontius Linnaeus 1771,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,608,understory,1,4,2022,ITV44047,CN02,attractive bait,,,,3,5,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",,,,,,,,,,11.9,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Biblidinae,,Catonephele,,,acontius,Linnaeus,1771,Catonephele acontius Linnaeus 1771,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.148752,-50.42119,,,662,understory,13,11,2019,-,CN04,attractive bait,,,,3,5,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,18.59,1,2.24,34.74,22.17,25.58,25.25,0,10.32,NE,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Biblidinae,,Catonephele,,,acontius,Linnaeus,1771,Catonephele acontius Linnaeus 1771,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.148752,-50.42119,,,662,canopy,9,11,2019,-,CN04,attractive bait,,,,3,5,"Beccaloni, G.W., Hall, S.K., Viloria, A.L. & Robinson, G.S. (2007) Host-plants of the Neotropical Butterflies: A Catalogue / Catálogo de las Plantas Huésped de las Mariposas Neotropicales. S.E.A., RIBES-CYTED, The Natural History Museum & Instituto Venezolano de Investigaciones Científicas",0,18.59,1,2.24,34.74,22.17,25.58,25.25,0,12.29,NE,NE
