kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,infraspecificEpithet,specificEpithet,scientificNameAuthorship,scientificNameAuthorshipYear,scientificName,continent,country,habitat,locality,county,decimalLatitude,decimalLongitude,eventTemperature,eventRelHum,eventAltitude,sampleStrata,day,month,year,materialSampleID,samplingLocationID,samplingProtocol,sampleSizeValue,samplingEffort,timePerSample,plantAnemochory,plantAnemophily,plantAutochory,plantCantarophily,plantChiropterophily,plantChiropterochory,plantEntomophily,plantHidrochory,plantIctiochory,plantLeafArea,plantLeafNitrogen,plantLeafPhosphorus,plantLifeForm,plantMammalochory,plantMelithophily,plantOrnitochory,plantOrnitophily,plantPhalaenophily,plantHeight,plantPsychophily,plantSaurochory,plantDBH,plantWoodDensity,plantZoochory,plantZoophily,categoryThreatMMA,categoryThreatIUCN,speciesRefSyndromePollination,speciesRefSyndromeDispersal,plantDisperSyndromeRef,plantPollinSyndromeRef
Plantae,Magnoliophyta,Embryopsida,Aquifoliales,Aquifoliaceae,,,ni,,,ni,,,ni,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.145874,-50.43998,,,670,understory,23,3,2022,24166,CN05,quadrat methods,,,,,,,,,,,,,,,,tree,,,,,,14,,,51.5,,,,NE,NE,,,,
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,aculeatum,G.Mey.,,Astrocaryum aculeatum G.Mey.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.145874,-50.43998,,,670,understory,22,3,2022,24006,CN05,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,5,0,0,15,,1,0,NE,LC,,,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,aculeatum,G.Mey.,,Astrocaryum aculeatum G.Mey.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.145874,-50.43998,,,670,understory,22,3,2022,24009,CN05,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,4,0,0,16,,1,0,NE,LC,,,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Syagrus,,,cocoides,Mart.   ,,Syagrus cocoides Mart.   ,South America,Brazil,Deciduous Forest,Carajás,Canaã dos Carajás,-6.215823,-50.31776,,,625,understory,29,3,2022,24767,CN10,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,0,0,0,0,0,3,0,0,27,,1,0,NE,NE,,,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.173898,-50.37792,,,692,understory,31,3,2022,25021,CN03,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,5,0,0,13,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,680,understory,3,4,2022,25168,CN02,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,8,0,0,19.5,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,680,understory,3,4,2022,25173,CN02,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,3,0,0,15,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,680,understory,4,4,2022,25274,CN02,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,3,0,0,15.5,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,680,understory,4,4,2022,25295,CN02,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,3,0,0,19,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
Plantae,Magnoliophyta,Embryopsida,Arecales,Arecaceae,,,Astrocaryum,,,gynacanthum,Mart.,,Astrocaryum gynacanthum Mart.,South America,Brazil,Open Ombrophylous Forest,Carajás,Parauapebas,-6.174531,-50.37667,,,680,understory,4,4,2022,25359,CN02,quadrat methods,,,,0,0,0,0,0,0,1,0,0,,,,palm,1,0,1,0,0,3,0,0,16.5,,1,0,NE,NE,Astrocaryum aculeatum,Astrocaryum aculeatum,"Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935.","Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). Kattge, J., Diaz, S., Lavorel, S., Prentice, I. C., Leadley, P., Bönisch, G., ... & Wirth, C. (2011). TRY–a global database of plant traits. Global change biology, 17(9), 2905-2935.–a global database of plant traits. Global change biology, 17(9), 2905-2935."
