materialSampleID_bee,samplingLocationID,decimalLatitude,decimalLongitude,samplingProtocol,TypeofInteraction,SamplingTime,EventTime,Day,Month,Year,Kingdom_bee,Phylum_bee,Class_bee,Order_bee,Family_bee,Genus_bee,Subgenus_bee,SpecificEpithet _bee,scientificNameAuthorship_bee,scientificNameAuthorshipYear_bee,scientificName_bee,materialSampleID_plant,Kingdom_plant,Phylum_plant,Class_plant,Order_plant,Family_plant,Genus_plant,SpecificEpithet _plant,scientificNameAuthorship_plant,scientificNameAuthorshipYear_plant,scientificName_plant
CN-1242,CN10,-6.284544,-50.336224,Active_net_collecting,visiting,1,11amUTC,17,5,2022,Animalia, Arthropoda,Insecta,Hymenoptera,Apidae,Ancyloscelis,,sp,,,Ancyloscelis sp  ,pp297,Plantae,Magnoliophyta,Embryopsida,,Convolvulaceae,Operculina,hamiltonii,(G.Don) D.F.Austin & Staples,,Operculina hamiltonii (G.Don) D.F.Austin & Staples
CN-80,CN09,-6.244426,-50.315309,Active_net_collecting,visiting,1,12amUTC,29,3,2022,Animalia, Arthropoda,Insecta,Hymenoptera,Apidae,Aparatrigona,,impunctata,Ducke,1916,Aparatrigona impunctata Ducke 1916,pp58,Plantae,Magnoliophyta,Embryopsida,,Polygalaceae,Polygala,paniculata,L.,,Polygala paniculata L.
CN-1203,CN14,-6.186415,-50.129326,Active_net_collecting,visiting,1,12amUTC,14,5,2022,Animalia, Arthropoda,Insecta,Hymenoptera,Apidae,Aparattigona,,impunctata,Ducke,1916,Aparattigona impunctata Ducke 1916,pp196,Plantae,Magnoliophyta,Embryopsida,,Malpighiaceae,Byrsonima,chrysophylla,Kunth,,Byrsonima chrysophylla Kunth
CN-1574,CN03,-6.148752,-50.42119,Active_net_collecting,visiting,1,11amUTC,11,5,2022,Animalia, Arthropoda,Insecta,Hymenoptera,Apidae,Apis,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,pp165,Plantae,Magnoliophyta,Embryopsida,,Lamiaceae,Mesosphaerum,suaveolens,(L.) Kuntze,,Mesosphaerum suaveolens (L.) Kuntze
CN-1602,CN04,-6.145874,-50.439977,Active_net_collecting,visiting,1,12amUTC,15,5,2022,Animalia, Arthropoda,Insecta,Hymenoptera,Apidae,Apis,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,pp228,Plantae,Magnoliophyta,Embryopsida,,Fabaceae,Aeschynomene,americana var. glandulosa,(Poir.) Rudd,,Aeschynomene americana var. glandulosa (Poir.) Rudd
CN-1603,CN04,-6.145874,-50.439977,Active_net_collecting,visiting,1,12amUTC,15,5,2022,Animalia, Arthropoda,Insecta,Hymenoptera,Apidae,Apis,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,pp228,Plantae,Magnoliophyta,Embryopsida,,Fabaceae,Aeschynomene,americana var. glandulosa,(Poir.) Rudd,,Aeschynomene americana var. glandulosa (Poir.) Rudd
CN-194,CN06,-6.171656,-50.352591,Active_net_collecting,visiting,1,11amUTC,30,3,2022,Animalia, Arthropoda,Insecta,Hymenoptera,Apidae,Apis,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,pp22,Plantae,Magnoliophyta,Embryopsida,,Turneraceae,Turnera,laciniata,Arbo,,Turnera laciniata Arbo
CN-1074,CN09,-6.244426,-50.315309,Active_net_collecting,visiting,1,11amUTC,17,5,2022,Animalia, Arthropoda,Insecta,Hymenoptera,Apidae,Apis,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,pp278,Plantae,Magnoliophyta,Embryopsida,,Asteraceae,Cavalcantia,glomerata,(G.M.Barroso & R.M.King) R.M.King & H.Rob.,,Cavalcantia glomerata (G.M.Barroso & R.M.King) R.M.King & H.Rob.
CN-76,CN09,-6.244426,-50.315309,Active_net_collecting,visiting,1,12amUTC,29,3,2022,Animalia, Arthropoda,Insecta,Hymenoptera,Apidae,Apis,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,pp59,Plantae,Magnoliophyta,Embryopsida,,Lamiaceae,Mesosphaerum,suaveolens,(L.) Kuntze,,Mesosphaerum suaveolens (L.) Kuntze
CN-1073,CN09,-6.244426,-50.315309,Active_net_collecting,visiting,1,11amUTC,17,5,2022,Animalia, Arthropoda,Insecta,Hymenoptera,Apidae,Apis,,mellifera,Linnaeus,1758,Apis mellifera Linnaeus 1758,pp277,Plantae,Magnoliophyta,Embryopsida,,Malpiguiaceae,Peixotoa,reticulata,Griseb.,,Peixotoa reticulata Griseb.
